HourDK;WP Prognosis (MWh);Cons. Prognosis (MWh);WP Penetration (MWh);Day-Ahead price (DKK);;;;;
11-01-18 19.00;451;2.912;0,15;300,47;;;;;
11-01-18 20.00;496;2.719;0,18;297,57;;;;;
11-01-18 21.00;531;2.553;0,21;253,26;;;;;
11-01-18 22.00;552;2.316;0,24;298,61;;;;;
11-01-18 23.00;591;2.135;0,28;223,84;;;;;
12-01-18 00.00;802;1.998;0,40;223,38;;;;;
12-01-18 01.00;877;1.920;0,46;219,06;;;;;
12-01-18 02.00;923;1.908;0,48;217,42;;;;;
12-01-18 03.00;972;1.910;0,51;217,27;;;;;
12-01-18 04.00;1.025;1.960;0,52;220,40;;;;;
12-01-18 05.00;1.086;2.119;0,51;232,46;;;;;
12-01-18 06.00;1.188;2.531;0,47;247,36;;;;;
12-01-18 07.00;1.226;2.954;0,42;329,04;;;;;
12-01-18 08.00;1.305;3.082;0,42;350,56;;;;;
12-01-18 09.00;1.358;3.030;0,45;330,23;;;;;
12-01-18 10.00;1.366;3.079;0,44;324,42;;;;;
12-01-18 11.00;1.210;3.039;0,40;323,45;;;;;
12-01-18 12.00;1.178;2.904;0,41;294,71;;;;;
12-01-18 13.00;1.193;2.866;0,42;280,19;;;;;
12-01-18 14.00;1.227;2.771;0,44;273,49;;;;;
12-01-18 15.00;1.282;2.730;0,47;262,10;;;;;
12-01-18 16.00;1.326;2.838;0,47;294,56;;;;;
12-01-18 17.00;1.342;3.054;0,44;305,66;;;;;
12-01-18 18.00;1.282;2.934;0,44;286,52;;;;;
12-01-18 19.00;1.289;2.702;0,48;246,54;;;;;
12-01-18 20.00;1.291;2.493;0,52;235,00;;;;;
12-01-18 21.00;1.314;2.322;0,57;234,18;;;;;
12-01-18 22.00;1.389;2.184;0,64;226,06;;;;;
12-01-18 23.00;1.375;2.041;0,67;219,95;;;;;
13-01-18 00.00;1.383;1.882;0,73;224,56;;;;;
13-01-18 01.00;1.414;1.793;0,79;220,68;;;;;
13-01-18 02.00;1.458;1.776;0,82;217,18;;;;;
13-01-18 03.00;1.419;1.767;0,80;215,47;;;;;
13-01-18 04.00;1.449;1.797;0,81;214,43;;;;;
13-01-18 05.00;1.483;1.855;0,80;215,84;;;;;
13-01-18 06.00;1.552;1.981;0,78;218,60;;;;;
13-01-18 07.00;1.579;2.192;0,72;225,53;;;;;
13-01-18 08.00;1.657;2.402;0,69;229,77;;;;;
13-01-18 09.00;1.631;2.489;0,66;234,69;;;;;
13-01-18 10.00;1.597;2.562;0,62;236,92;;;;;
13-01-18 11.00;1.521;2.559;0,59;237,52;;;;;
13-01-18 12.00;1.457;2.501;0,58;237,44;;;;;
13-01-18 13.00;1.415;2.443;0,58;237,22;;;;;
13-01-18 14.00;1.370;2.433;0,56;233,79;;;;;
13-01-18 15.00;1.406;2.456;0,57;233,35;;;;;
13-01-18 16.00;1.445;2.586;0,56;252,64;;;;;
13-01-18 17.00;1.447;2.803;0,52;282,73;;;;;
13-01-18 18.00;1.542;2.712;0,57;273,42;;;;;
13-01-18 19.00;1.699;2.517;0,68;238,86;;;;;
13-01-18 20.00;1.761;2.372;0,74;227,83;;;;;
13-01-18 21.00;1.704;2.146;0,79;221,95;;;;;
13-01-18 22.00;1.675;2.025;0,83;218,52;;;;;
13-01-18 23.00;1.595;1.919;0,83;214,50;;;;;
14-01-18 00.00;1.518;1.806;0,84;173,19;;;;;
14-01-18 01.00;1.465;1.763;0,83;184,81;;;;;
14-01-18 02.00;1.386;1.763;0,79;185,86;;;;;
14-01-18 03.00;1.311;1.768;0,74;193,60;;;;;
14-01-18 04.00;1.406;1.806;0,78;188,54;;;;;
14-01-18 05.00;1.474;1.836;0,80;199,41;;;;;
14-01-18 06.00;1.482;1.923;0,77;211,18;;;;;
14-01-18 07.00;1.420;2.075;0,68;212,67;;;;;
14-01-18 08.00;1.510;2.217;0,68;214,76;;;;;
14-01-18 09.00;1.573;2.322;0,68;219,08;;;;;
14-01-18 10.00;1.596;2.384;0,67;221,54;;;;;
14-01-18 11.00;1.557;2.433;0,64;224,44;;;;;
14-01-18 12.00;1.518;2.383;0,64;222,06;;;;;
14-01-18 13.00;1.494;2.357;0,63;219,30;;;;;
14-01-18 14.00;1.448;2.338;0,62;223,03;;;;;
14-01-18 15.00;1.552;2.349;0,66;233,31;;;;;
14-01-18 16.00;1.665;2.502;0,67;247,83;;;;;
14-01-18 17.00;1.773;2.814;0,63;253,12;;;;;
14-01-18 18.00;2.000;2.691;0,74;242,10;;;;;
14-01-18 19.00;2.170;2.503;0,87;233,75;;;;;
14-01-18 20.00;2.152;2.358;0,91;227,57;;;;;
14-01-18 21.00;2.154;2.234;0,96;221,16;;;;;
14-01-18 22.00;2.239;2.095;1,07;218,48;;;;;
14-01-18 23.00;2.152;1.981;1,09;214,68;;;;;
15-01-18 00.00;2.502;1.895;1,32;172,45;;;;;
15-01-18 01.00;2.502;1.825;1,37;178,93;;;;;
15-01-18 02.00;2.568;1.772;1,45;172,07;;;;;
15-01-18 03.00;2.627;1.802;1,46;151,14;;;;;
15-01-18 04.00;2.703;1.885;1,43;169,91;;;;;
15-01-18 05.00;2.790;2.013;1,39;187,49;;;;;
15-01-18 06.00;2.862;2.457;1,16;250,66;;;;;
15-01-18 07.00;2.904;2.946;0,99;240,98;;;;;
15-01-18 08.00;3.029;3.070;0,99;249,54;;;;;
15-01-18 09.00;3.057;3.001;1,02;242,62;;;;;
15-01-18 10.00;3.015;3.043;0,99;234,94;;;;;
15-01-18 11.00;2.999;3.070;0,98;225,71;;;;;
15-01-18 12.00;3.029;2.976;1,02;219,23;;;;;
15-01-18 13.00;3.090;2.951;1,05;218,18;;;;;
15-01-18 14.00;3.114;2.991;1,04;219,15;;;;;
15-01-18 15.00;3.144;2.941;1,07;209,17;;;;;
15-01-18 16.00;3.214;3.052;1,05;185,41;;;;;
15-01-18 17.00;3.246;3.276;0,99;223,55;;;;;
15-01-18 18.00;3.296;3.089;1,07;208,87;;;;;
15-01-18 19.00;3.376;2.890;1,17;134,68;;;;;
15-01-18 20.00;3.317;2.719;1,22;101,23;;;;;
15-01-18 21.00;3.150;2.583;1,22;79,63;;;;;
15-01-18 22.00;3.119;2.424;1,29;74,57;;;;;
15-01-18 23.00;2.931;2.244;1,31;-8,64;;;;;
16-01-18 00.00;2.741;2.094;1,31;-71,59;;;;;
16-01-18 01.00;2.538;2.022;1,26;-49,32;;;;;
16-01-18 02.00;2.344;1.990;1,18;-17,36;;;;;
16-01-18 03.00;2.150;1.983;1,08;-36,65;;;;;
16-01-18 04.00;2.070;2.033;1,02;-0,60;;;;;
16-01-18 05.00;2.031;2.254;0,90;78,89;;;;;
16-01-18 06.00;1.888;2.653;0,71;206,50;;;;;
16-01-18 07.00;1.621;3.066;0,53;289,93;;;;;
16-01-18 08.00;1.445;3.145;0,46;313,85;;;;;
16-01-18 09.00;1.393;3.088;0,45;260,96;;;;;
16-01-18 10.00;1.394;3.163;0,44;245,24;;;;;
16-01-18 11.00;1.412;3.163;0,45;245,61;;;;;
16-01-18 12.00;1.457;3.118;0,47;245,01;;;;;
16-01-18 13.00;1.404;3.074;0,46;245,09;;;;;
16-01-18 14.00;1.346;3.030;0,44;245,01;;;;;
16-01-18 15.00;1.226;2.976;0,41;251,64;;;;;
16-01-18 16.00;1.070;3.066;0,35;275,18;;;;;
16-01-18 17.00;1.040;3.254;0,32;314,22;;;;;
16-01-18 18.00;1.103;3.099;0,36;330,31;;;;;
16-01-18 19.00;1.136;2.919;0,39;253,21;;;;;
16-01-18 20.00;1.145;2.734;0,42;259,32;;;;;
16-01-18 21.00;1.082;2.538;0,43;228,85;;;;;
16-01-18 22.00;1.073;2.350;0,46;224,23;;;;;
16-01-18 23.00;1.108;2.163;0,51;183,41;;;;;
17-01-18 00.00;845;2.072;0,41;209,63;;;;;
17-01-18 01.00;915;2.023;0,45;206,72;;;;;
17-01-18 02.00;796;2.031;0,39;205,08;;;;;
17-01-18 03.00;601;2.026;0,30;204,64;;;;;
17-01-18 04.00;599;2.065;0,29;207,92;;;;;
17-01-18 05.00;690;2.233;0,31;205,76;;;;;
17-01-18 06.00;794;2.631;0,30;237,94;;;;;
17-01-18 07.00;775;3.053;0,25;297,98;;;;;
17-01-18 08.00;721;3.155;0,23;334,86;;;;;
17-01-18 09.00;670;3.100;0,22;316,53;;;;;
17-01-18 10.00;613;3.167;0,19;297,09;;;;;
17-01-18 11.00;670;3.173;0,21;290,46;;;;;
17-01-18 12.00;722;3.084;0,23;258,87;;;;;
17-01-18 13.00;764;3.049;0,25;242,41;;;;;
17-01-18 14.00;810;3.016;0,27;241,21;;;;;
17-01-18 15.00;789;2.925;0,27;246,65;;;;;
17-01-18 16.00;703;3.015;0,23;283,38;;;;;
17-01-18 17.00;686;3.252;0,21;289,79;;;;;
17-01-18 18.00;792;3.092;0,26;286,36;;;;;
17-01-18 19.00;839;2.930;0,29;255,22;;;;;
17-01-18 20.00;889;2.777;0,32;232,42;;;;;
17-01-18 21.00;1.000;2.575;0,39;227,73;;;;;
17-01-18 22.00;1.083;2.377;0,46;222,89;;;;;
17-01-18 23.00;1.080;2.216;0,49;218,49;;;;;
18-01-18 00.00;758;2.088;0,36;216,88;;;;;
18-01-18 01.00;774;2.011;0,38;213,01;;;;;
18-01-18 02.00;756;2.002;0,38;211,96;;;;;
18-01-18 03.00;796;2.034;0,39;211,07;;;;;
18-01-18 04.00;799;2.053;0,39;214,12;;;;;
18-01-18 05.00;673;2.200;0,31;222,84;;;;;
18-01-18 06.00;631;2.587;0,24;232,37;;;;;
18-01-18 07.00;576;3.016;0,19;319,73;;;;;
18-01-18 08.00;533;3.123;0,17;313,92;;;;;
18-01-18 09.00;575;3.094;0,19;312,81;;;;;
18-01-18 10.00;463;3.159;0,15;304,69;;;;;
18-01-18 11.00;234;3.132;0,07;293,00;;;;;
18-01-18 12.00;165;3.077;0,05;278,62;;;;;
18-01-18 13.00;149;3.097;0,05;266,78;;;;;
18-01-18 14.00;143;3.049;0,05;259,56;;;;;
18-01-18 15.00;162;2.979;0,05;273,56;;;;;
18-01-18 16.00;174;3.052;0,06;293,15;;;;;
18-01-18 17.00;161;3.271;0,05;313,92;;;;;
18-01-18 18.00;143;3.111;0,05;313,11;;;;;
18-01-18 19.00;141;2.917;0,05;309,01;;;;;
18-01-18 20.00;166;2.742;0,06;289,94;;;;;
18-01-18 21.00;162;2.566;0,06;255,46;;;;;
18-01-18 22.00;141;2.387;0,06;242,57;;;;;
18-01-18 23.00;111;2.189;0,05;226,79;;;;;
19-01-18 00.00;113;2.060;0,05;223,40;;;;;
19-01-18 01.00;95;2.012;0,05;223,17;;;;;
19-01-18 02.00;101;2.014;0,05;219,60;;;;;
19-01-18 03.00;85;2.012;0,04;220,12;;;;;
19-01-18 04.00;80;2.068;0,04;223,55;;;;;
19-01-18 05.00;95;2.231;0,04;236,50;;;;;
19-01-18 06.00;110;2.607;0,04;298,01;;;;;
19-01-18 07.00;132;3.033;0,04;364,59;;;;;
19-01-18 08.00;185;3.155;0,06;386,78;;;;;
19-01-18 09.00;216;3.099;0,07;375,01;;;;;
19-01-18 10.00;218;3.107;0,07;369,20;;;;;
19-01-18 11.00;220;3.045;0,07;349,10;;;;;
19-01-18 12.00;256;2.906;0,09;320,13;;;;;
19-01-18 13.00;303;2.804;0,11;310,30;;;;;
19-01-18 14.00;323;2.694;0,12;294,07;;;;;
19-01-18 15.00;329;2.665;0,12;311,12;;;;;
19-01-18 16.00;373;2.777;0,13;329,88;;;;;
19-01-18 17.00;420;3.044;0,14;369,13;;;;;
19-01-18 18.00;546;2.904;0,19;370,39;;;;;
19-01-18 19.00;590;2.665;0,22;333,53;;;;;
19-01-18 20.00;576;2.472;0,23;289,15;;;;;
19-01-18 21.00;602;2.337;0,26;275,08;;;;;
19-01-18 22.00;652;2.182;0,30;266,89;;;;;
19-01-18 23.00;599;2.052;0,29;242,83;;;;;
20-01-18 00.00;594;1.930;0,31;221,24;;;;;
